        39       20.9790       10.5926       213.692       13.8137   6    0.00954952     0.0374535     0.0577989     0.0518518    -0.0120287     0.0447802    -0.0568307     0.0485066
        40       83.3404       6.84394       240.407       9.67017   6   -0.00985261     0.0273054     0.0273587     0.0300755     0.0198934     0.0281613    -0.0197172     0.0296062
        41       81.1897       8.78507       279.858       10.1457   6    -0.0164783     0.0290994     0.0211059     0.0311469   -0.00431782     0.0294462     0.0211354     0.0325674
        42       89.3593       9.83020       291.444       11.8045   6    -0.0352279     0.0312090     0.0111865     0.0356636     0.0421161     0.0332006     0.0101638     0.0362957
        43       64.7015       11.1865       333.746       14.3677   6  -0.000614775     0.0311077    0.00652500     0.0347657     0.0378926     0.0312951     0.0518116     0.0362535
        44       96.1924       10.6647       293.283       16.1472   6    -0.0241908     0.0330822     0.0558563     0.0365257     0.0370492     0.0364683     0.0374424     0.0404720
        45       106.049       10.8186       299.373       14.4991   6    -0.0358127     0.0315705     0.0489438     0.0377274    0.00560749     0.0337641     0.0311395     0.0389306
        46       82.7742       11.2232       340.213       14.1343   6    -0.0110800     0.0303422    -0.0163760     0.0346539     0.0190320     0.0326487     0.0720985     0.0399117
        47       37.3439       10.8167       358.851       15.2901   6     0.0120494     0.0243235     0.0335830     0.0291762    -0.0240685     0.0237381     0.0737821     0.0319405
        48       128.679       8.27768       287.427       9.24439   6    -0.0531188     0.0263022    -0.0157224     0.0285436     0.0398223     0.0285528     0.0479139     0.0319502
        49       123.300       9.62759       267.761       9.78734   6    -0.0146882     0.0305373    0.00626181     0.0348738     0.0671130     0.0335729   -0.00697555     0.0365679
        50       142.846       9.57177       297.047       11.7586   6    -0.0600542     0.0284821     0.0110141     0.0297620     0.0564623     0.0300581     0.0541007     0.0317573
        51       111.404       11.6243       319.468       15.8033   6    -0.0356534     0.0325227     0.0109478     0.0378833    0.00845241     0.0346387     0.0359116     0.0422083
        52       82.2178       9.53578       351.421       14.2813   6    -0.0162780     0.0265420    0.00690687     0.0327463    0.00817776     0.0269009     0.0818322     0.0336792
        53      -12.3781       11.0645       363.299       16.5475   6    0.00304647     0.0253645     0.0452529     0.0304057    -0.0137435     0.0252075     0.0540186     0.0325141
        54       124.819       8.08644       335.611       11.5192   6    -0.0494689     0.0212491     0.0315916     0.0268582     0.0224323     0.0227980     0.0755119     0.0263689
        55      -142.778       10.5345       300.828       13.1259   6     0.0625835     0.0307443     0.0273075     0.0331557    -0.0368960     0.0328063     0.0504623     0.0340673
        56       39.5825       10.3773       359.946       15.4565   6    0.00364351     0.0263082     0.0331574     0.0306204    -0.0149215     0.0286089     0.0433136     0.0329813
        57      -124.609       12.6005       318.909       17.9141   6     0.0423095     0.0326552     0.0378332     0.0407297    0.00515250     0.0372519     0.0496604     0.0427757
